heap,bptree,hash,sequential,isam,brin,rtree
0.0851,0.5558,0.2289,0.3729,0.334,0.3037,5.9741
0.0911,0.3719,0.1931,0.3819,0.3502,0.2711,1.5368
0.0861,0.356,0.195,0.4029,0.3412,0.3238,2.0008
0.0851,0.3819,0.1879,0.385,0.3834,0.299,1.9891
0.0861,0.371,0.1879,0.3791,0.3231,0.2801,1.956
0.0858,0.3681,0.186,0.3951,0.315,0.2687,2.0733
0.0858,0.3502,0.1898,0.3788,0.324,0.3502,1.9538
0.0849,0.3579,0.2718,0.4039,0.3419,0.2739,1.801
0.0868,0.3412,0.2823,0.371,0.376,0.2608,1.9481
0.0818,0.3939,0.1931,0.375,0.289,0.294,1.3289
0.0868,0.38,0.1888,0.385,0.3262,0.267,2.0728
0.0839,0.3741,0.226,0.4098,0.3648,0.3219,1.3549
0.0908,0.3488,0.2098,0.3798,0.375,0.2868,1.3452
0.2439,0.3371,0.1941,0.3781,0.3378,0.2921,1.334
0.113,0.3419,0.1841,0.3779,0.3262,0.2718,1.996
0.1481,0.5798,0.2301,0.4189,0.3216,0.2933,1.4341
0.1009,0.3719,0.2019,0.3989,0.33,0.2649,1.9243
0.0839,0.3083,0.232,0.3841,0.3603,0.267,1.8342
0.0889,0.4401,0.1981,0.3891,0.2909,0.3037,1.3092
0.1278,0.3519,0.1979,0.3841,0.4013,0.2961,1.3959
0.093,0.376,0.1941,0.3757,0.3402,0.277,1.9751
0.0889,0.3941,0.19,0.38,0.34,0.2699,1.3311
0.205,0.3648,0.2,0.4199,0.34,0.263,1.9231
0.0901,0.3591,0.2031,0.3922,0.3421,0.2992,1.457
0.0868,0.2639,0.19,0.3867,0.3409,0.2859,1.879
0.0901,0.309,0.196,0.3991,0.3462,0.2868,1.3981
0.1061,0.277,0.227,0.4039,0.3343,0.3219,1.8501
0.1061,0.2761,0.1793,0.3908,0.3359,0.345,1.9777
0.0899,0.268,0.1841,0.38,0.365,0.2739,1.4009
0.083,0.2699,0.185,0.4032,0.3531,0.3023,2.1069
0.082,0.262,0.216,0.3781,0.3471,0.2701,1.9169
0.088,0.6819,0.1948,0.361,0.3989,0.2911,1.8339
0.093,0.385,0.1841,0.3889,0.483,0.2689,1.8852
0.0849,0.355,0.1822,0.4611,0.35,0.2699,1.698
0.0861,0.365,0.1867,0.4449,0.3479,0.267,1.9271
0.0892,0.3247,0.2291,0.4361,0.3681,0.2949,1.4284
0.0927,0.3722,0.1888,0.3982,0.2921,0.2761,4.7269
0.0949,0.3672,0.2089,0.3998,0.3421,0.2632,1.3549
0.0861,0.351,0.2072,0.3917,0.3471,0.2677,1.997
0.0901,0.3667,0.2029,0.3741,0.3448,0.299,1.462
0.0901,0.3591,0.1991,0.396,0.3431,0.2761,2.012
0.088,0.3572,0.1919,0.376,0.2859,0.2689,1.9703
0.092,0.3512,0.195,0.3657,0.3462,0.3521,1.3278
